"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -3.817847868,      -16.22012187,      -16.16769854,       -2.36640259,      -10.69911848
          0,           0,           1,      -4.619571275,      -3.671028968,      -3.610891419,      -3.166525407,      -10.43504083
          0,           0,           2,      -4.547050924,      -3.758110817,      -4.024459316,      -3.087922754,      -10.15478602
          0,           0,           3,      -4.593270838,      -3.848092103,      -4.352165158,      -3.138094389,      -9.842205936
          0,           0,           4,      -4.719215715,      -3.919523728,      -4.275621548,      -3.270314619,      -9.541765276
          0,           0,           5,      -4.832184287,      -3.974110677,      -4.295533675,      -3.389131171,      -9.254056418
          0,           0,           6,       -4.90949954,      -4.017782154,      -4.386984861,      -3.468357666,      -8.981785349
          0,           0,           7,      -4.981361248,      -4.051309098,      -4.491978344,      -3.545278241,      -8.748431981
          0,           0,           8,      -5.058421644,      -4.074862597,       -4.55862197,      -3.634794324,      -8.609357143
          0,           0,           9,      -5.122437974,      -4.114202666,      -4.606258424,      -3.702774362,      -8.555997523
          0,           0,          10,      -5.168323437,      -4.167588768,       -4.67231518,        -3.7347182,      -8.580123579
          0,           0,          11,      -5.216990755,      -4.221470663,      -4.751151651,      -3.769277432,      -8.575912248
          0,           0,          12,      -5.280076907,      -4.268657726,      -4.808103678,      -3.832343387,      -8.582163905
          0,           0,          13,      -5.344007467,      -4.308937925,      -4.833134048,       -3.91199579,      -8.657428116
          0,           0,          14,      -5.388069475,      -4.345321497,      -4.854577105,      -3.970812994,      -8.667248445
          0,           0,          15,      -5.416699338,      -4.379987412,      -4.890812473,      -3.997543566,       -8.68369712
          0,           0,          16,      -5.451457632,      -4.413047926,      -4.937699137,      -4.022056756,      -8.738079183
          0,           0,          17,      -5.502902304,      -4.444541054,      -4.982576016,      -4.065319066,      -8.765997152
          0,           0,          18,      -5.566676686,      -4.474939925,      -5.016656384,      -4.126798126,      -8.795218959
          0,           0,          19,       -5.63191896,      -4.504389269,      -5.040369334,      -4.195251832,      -8.818065261
          0,           0,          20,       -5.69189723,      -4.532355461,      -5.059766655,      -4.260405806,      -8.834002374
          0,           0,          21,      -5.747292373,      -4.558055586,      -5.079702035,      -4.320194134,      -8.845576049
          0,           0,          22,      -5.799870943,      -4.581384815,      -5.102046406,      -4.376504891,      -8.853138063
          0,           0,          23,      -5.847966935,      -4.602871919,      -5.126609194,      -4.428227893,      -8.856886601
          0,           0,          24,      -5.888670127,      -4.622992087,      -5.151769867,      -4.471389065,      -8.858207509
          0,           0,          25,      -5.922203143,      -4.641668796,      -5.175328977,      -4.504584819,      -8.857616447
          0,           0,          26,      -5.951736176,      -4.658450189,      -5.195689719,      -4.530910188,      -8.855730918
          0,           0,          27,       -5.98050606,      -4.673102665,      -5.212615477,      -4.554599832,      -8.852930457
          0,           0,          28,      -6.011064056,      -4.685837425,      -5.227193724,      -4.578703316,        -8.8494286
          0,           0,          29,       -6.04524378,      -4.697088149,      -5.240883782,      -4.604580692,      -8.845358514
          0,           0,          30,      -6.083752415,      -4.707209042,      -5.254536298,      -4.632184117,      -8.840756577
          0,           0,          31,      -6.125422148,      -4.716349165,       -5.26813173,      -4.660277141,      -8.835602081
          0,           0,          32,      -6.166630914,      -4.724499198,      -5.281109416,      -4.686493999,      -8.829835406
          0,           0,          33,      -6.202240574,      -4.731637552,      -5.292871493,      -4.708077405,      -8.823357447
          0,           0,          34,      -6.228640577,       -4.73782387,      -5.303116474,      -4.723423609,      -8.816064346
          0,           0,          35,      -6.246576131,      -4.743190623,      -5.311852957,      -4.733170264,      -8.807882087
          0,           0,          36,       -6.26045256,      -4.747883729,      -5.319223917,      -4.739634677,      -8.798759012
          0,           0,          37,      -6.274865395,      -4.752020327,      -5.325366968,      -4.745087003,      -8.788687731
          0,           0,          38,       -6.29182979,      -4.755672008,      -5.330405478,      -4.750362898,      -8.777701408
          0,           0,          39,      -6.310308955,      -4.758881582,      -5.334503982,      -4.754773229,      -8.765860527
          0,           0,          40,      -6.327584618,      -4.761688328,      -5.337872772,      -4.757133088,      -8.753224091
          0,           0,          41,      -6.341400236,      -4.764147298,      -5.340703952,      -4.756961693,      -8.739885711
          0,           0,          42,      -6.351431217,      -4.766334831,      -5.343117059,      -4.754909563,      -8.725921918
          0,           0,          43,      -6.359082662,      -4.768345789,       -5.34517656,      -4.752266896,      -8.711407418
          0,           0,          44,      -6.366173712,      -4.770283219,      -5.346964483,      -4.750187303,      -8.696415651
          0,           0,          45,      -6.373860005,      -4.772244947,      -5.348643783,      -4.749249157,      -8.681007008
          0,           0,          46,       -6.38243939,      -4.774310389,      -5.350465832,      -4.749487642,      -8.665243827
          0,           0,          47,      -6.391769023,      -4.776532169,      -5.352722834,      -4.750680782,      -8.649166066
          0,           0,          48,      -6.401744546,      -4.778934344,      -5.355675628,      -4.752617936,      -8.632815691
          0,           0,          49,      -6.412479525,      -4.781517797,      -5.359500096,      -4.755201448,      -8.616242245
          0,           0,          50,      -6.424156777,      -4.784270142,      -5.364268518,      -4.758395984,      -8.599465076
          0,           0,          51,      -6.436780013,      -4.787176017,      -5.369964254,      -4.762132767,      -8.582526517
          0,           0,          52,      -6.450051496,      -4.790224603,      -5.376511256,       -4.76626685,      -8.565451407
          0,           0,          53,      -6.463468955,      -4.793413058,       -5.38380176,      -4.770613247,       -8.54829609
          0,           0,          54,       -6.47657071,      -4.796746023,      -5.391716193,      -4.775023605,      -8.531041406
          0,           0,          55,      -6.489154214,      -4.800233239,      -5.400133351,      -4.779442444,      -8.513737184
          0,           0,          56,       -6.50133335,      -4.803886214,      -5.408936117,      -4.783907187,      -8.496394547
          0,           0,          57,      -6.513407948,      -4.807715391,      -5.418015677,      -4.788501302,       -8.47904458
          0,           0,          58,      -6.525662856,      -4.811728188,      -5.427277447,      -4.793296989,      -8.461701108
          0,           0,          59,      -6.538230106,      -4.815928034,      -5.436647277,       -4.79832294,      -8.444366047
          0,           0,          60,      -6.551067052,      -4.820314564,      -5.446073191,      -4.803564908,      -8.427074382
          0,           0,          61,      -6.564027013,      -4.824884661,      -5.455524267,       -4.80898644,      -8.409827787
          0,           0,          62,      -6.576944568,       -4.82963362,      -5.464985561,      -4.814548847,      -8.392647812
          0,           0,          63,       -6.58968428,      -4.834556669,      -5.474452135,      -4.820220972,       -8.37553509
          0,           0,          64,      -6.602140771,      -4.839649953,      -5.483924719,      -4.825977822,      -8.358509256
          0,           0,          65,      -6.614217939,      -4.844910429,      -5.493407656,      -4.831797364,      -8.341582424
          0,           0,          66,      -6.625813295,      -4.850335773,      -5.502908073,      -4.837659991,      -8.324773343
          0,           0,          67,       -6.63683164,      -4.855923656,      -5.512437081,      -4.843553358,      -8.308092338
          0,           0,          68,      -6.647212156,      -4.861670958,      -5.522011004,      -4.849477183,       -8.29152081
          0,           0,          69,      -6.656947952,      -4.867573341,      -5.531650891,      -4.855444229,      -8.275091397
          0,           0,          70,      -6.666086159,      -4.873625162,      -5.541382465,      -4.861477146,      -8.258820009
          0,           0,          71,      -6.674703052,      -4.879819506,      -5.551234444,      -4.867600165,      -8.242706873
          0,           0,          72,      -6.682873067,       -4.88614855,      -5.561235514,      -4.873832149,      -8.226767741
          0,           0,          73,      -6.690644862,      -4.892603911,      -5.571412124,      -4.880181955,      -8.211008072
          0,           0,          74,      -6.698031211,      -4.899176752,      -5.581786325,      -4.886646755,      -8.195410734
          0,           0,          75,      -6.705018158,      -4.905858089,      -5.592373567,      -4.893215529,      -8.179964843
          0,           0,          76,      -6.711584643,      -4.912638879,      -5.603182244,       -4.89987398,      -8.164695323
          0,           0,          77,      -6.717721813,      -4.919509908,      -5.614213469,      -4.906608664,      -8.149606499
          0,           0,          78,      -6.723447606,      -4.926461965,      -5.625461361,      -4.913411229,      -8.134709418
          0,           0,          79,      -6.728810581,      -4.933485977,      -5.636913932,      -4.920279707,      -8.120012582
