Points_0,0deg,,X/C,Cp
0,1.00659,,0,1.0184
5.82E-06,1.00477,,0.0122,0.007
5.82E-06,1.00466,,0.0135,0.0407
2.72E-05,1.00132,,0.0251,-0.2208
2.72E-05,1.00112,,0.0271,-0.1745
7.18E-05,0.991687,,0.051,-0.3522
7.18E-05,0.991367,,0.0515,-0.2864
0.000150079,0.974898,,0.0755,-0.3815
0.000150079,0.974443,,0.0763,-0.3605
0.000276236,0.948771,,0.1,-0.3949
0.000276236,0.948162,,0.1012,-0.3644
0.000469128,0.910654,,0.1503,-0.3592
0.000469128,0.909878,,0.1504,-0.3986
0.000753189,0.85787,,0.1994,-0.3618
0.000753189,0.856918,,0.2004,-0.3854
0.00115919,0.78836,,0.2501,-0.355
0.00115919,0.787227,,0.2501,-0.3346
0.00172462,0.701456,,0.2999,-0.3139
0.00172462,0.700152,,0.3002,-0.3257
0.00249343,0.598646,,0.3499,-0.2805
0.00249343,0.597189,,0.3507,-0.2958
0.00351532,0.483897,,0.3994,-0.2606
0.00351532,0.482318,,0.4,-0.2716
0.00484455,0.363153,,0.4496,-0.23
0.00484455,0.361489,,0.4503,-0.2371
0.00653926,0.243067,,0.4997,-0.2065
0.00653926,0.241358,,0.5,-0.2152
0.00866098,0.129571,,0.5492,-0.1737
0.00866098,0.127856,,0.5506,-0.1887
0.0112752,0.0268517,,0.5994,-0.1494
0.0112752,0.0251628,,0.5997,-0.1585
0.0144522,-0.0629771,,0.6495,-0.1278
0.0144522,-0.0646152,,0.6502,-0.1428
0.0182689,-0.139402,,0.6996,-0.0967
0.0182689,-0.140972,,0.7003,-0.1027
0.0228094,-0.203164,,0.7489,-0.0698
0.0228094,-0.204655,,0.7497,-0.0731
0.0281672,-0.255499,,0.7998,-0.0378
0.0281672,-0.256906,,0.8003,-0.0371
0.0344451,-0.29781,,0.85,0.0011
0.0344451,-0.29913,,0.8503,-0.0038
0.0417559,-0.331537,,0.8993,0.0477
0.0417559,-0.332772,,0.9,0.0279
0.0502224,-0.357937,,0.9483,0.1008
0.0502224,-0.359089,,0.9489,0.0973
0.0599767,-0.378095,,,
0.0599767,-0.379168,,,
0.0711583,-0.392923,,,
0.0711583,-0.393921,,,
0.0839123,-0.403139,,,
0.0839123,-0.404067,,,
0.0983855,-0.409254,,,
0.0983855,-0.410119,,,
0.114722,-0.411636,,,
0.114722,-0.412441,,,
0.133057,-0.410586,,,
0.133057,-0.411336,,,
0.153511,-0.406331,,,
0.153511,-0.40703,,,
0.17618,-0.399023,,,
0.17618,-0.399674,,,
0.201125,-0.388879,,,
0.201125,-0.389487,,,
0.228367,-0.376072,,,
0.228367,-0.37664,,,
0.257873,-0.360861,,,
0.257873,-0.361391,,,
0.289554,-0.343515,,,
0.289554,-0.344011,,,
0.323253,-0.324416,,,
0.323253,-0.324879,,,
0.358747,-0.303895,,,
0.358747,-0.304329,,,
0.395749,-0.282413,,,
0.395749,-0.282821,,,
0.433912,-0.260297,,,
0.433912,-0.260679,,,
0.472843,-0.237956,,,
0.472843,-0.238316,,,
0.512117,-0.215641,,,
0.512117,-0.21598,,,
0.551292,-0.193648,,,
0.551292,-0.193969,,,
0.589933,-0.172083,,,
0.589933,-0.172386,,,
0.627628,-0.151104,,,
0.627628,-0.151391,,,
0.664007,-0.130684,,,
0.664007,-0.130956,,,
0.69875,-0.110846,,,
0.69875,-0.111105,,,
0.731603,-0.0914796,,,
0.731603,-0.0917245,,,
0.762378,-0.0725276,,,
0.762378,-0.0727585,,,
0.790952,-0.0538796,,,
0.790952,-0.0540961,,,
0.817266,-0.0354728,,,
0.817266,-0.0356734,,,
0.841316,-0.0172313,,,
0.841316,-0.0174141,,,
0.863146,0.000863548,,,
0.863146,0.000701122,,,
0.882836,0.0188406,,,
0.882836,0.0187019,,,
0.900496,0.0366796,,,
0.900496,0.0365686,,,
0.916256,0.0543699,,,
0.916256,0.0542922,,,
0.930255,0.0718705,,,
0.930255,0.0718329,,,
0.942641,0.089179,,,
0.942641,0.0891919,,,
0.95356,0.106209,,,
0.95356,0.106276,,,
0.963157,0.123055,,,
0.963157,0.123174,,,
0.971568,0.13939,,,
0.971568,0.139516,,,
0.978921,0.156029,,,
0.978921,0.156127,,,
0.985337,0.171159,,,
0.985337,0.171116,,,
0.990924,0.196548,,,
0.990924,0.196514,,,
0.995782,0.189298,,,
0.995782,0.188565,,,
1,0.219464,,,
