Points_0,10deg,,X/C,Ladson
0,-3.87107,,-0.1994,1.1692
5.82E-06,-3.66438,,-0.1503,1.3616
5.82E-06,-4.06218,,-0.1012,1.7081
2.72E-05,-3.4882,,-0.0763,1.9649
2.72E-05,-4.19137,,-0.0515,2.2957
7.18E-05,-3.26165,,-0.0271,2.9842
7.18E-05,-4.38845,,-0.0135,3.6981
0.000150079,-3.0045,,0,2.4197
0.000150079,-4.59869,,0.0122,1.0067
0.000276236,-2.70279,,0.0251,0.9798
0.000276236,-4.82078,,0.051,0.7709
0.000469128,-2.35758,,0.0755,0.6255
0.000469128,-5.04558,,0.1,0.5194
0.000753189,-1.96934,,0.1504,0.3703
0.000753189,-5.25794,,0.2004,0.2807
0.00115919,-1.54664,,0.2501,0.2245
0.00115919,-5.43926,,0.2501,-0.999
0.00172462,-1.1045,,0.2999,-0.8691
0.00172462,-5.56843,,0.3002,0.1866
0.00249343,-0.664215,,0.3499,-0.7595
0.00249343,-5.62598,,0.3507,0.1531
0.00351532,-0.249814,,0.3994,-0.6591
0.00351532,-5.5989,,0.4,0.1366
0.00484455,0.116657,,0.4496,-0.5841
0.00484455,-5.48432,,0.4503,0.1147
0.00653926,0.419974,,0.4997,-0.5032
0.00653926,-5.29026,,0.5,0.1022
0.00866098,0.653934,,0.5492,-0.4291
0.00866098,-5.03442,,0.5506,0.0932
0.0112752,0.820662,,0.5994,-0.3646
0.0112752,-4.73913,,0.5997,0.0885
0.0144522,0.927848,,0.6495,-0.3056
0.0144522,-4.42446,,0.6502,0.0726
0.0182689,0.9858,,0.6996,-0.243
0.0182689,-4.106,,0.7003,0.0809
0.0228094,1.00531,,0.7489,-0.1884
0.0228094,-3.79536,,0.7497,0.079
0.0281672,0.996057,,0.7998,0.0911
0.0281672,-3.49965,,0.8003,-0.1189
0.0344451,0.966088,,0.85,-0.0551
0.0344451,-3.22313,,0.8503,0.0888
0.0417559,0.921902,,0.8993,0.0152
0.0417559,-2.96758,,0.9,0.0783
0.0502224,0.868511,,0.9483,0.1172
0.0502224,-2.73268,,0.9489,0.087
0.0599767,0.809695,,,
0.0599767,-2.51732,,,
0.0711583,0.748229,,,
0.0711583,-2.31998,,,
0.0839123,0.686132,,,
0.0839123,-2.13908,,,
0.0983855,0.624907,,,
0.0983855,-1.97295,,,
0.114722,0.565664,,,
0.114722,-1.81989,,,
0.133057,0.509202,,,
0.133057,-1.67828,,,
0.153511,0.45616,,,
0.153511,-1.54676,,,
0.17618,0.407023,,,
0.17618,-1.42405,,,
0.201125,0.362011,,,
0.201125,-1.30913,,,
0.228367,0.321387,,,
0.228367,-1.20118,,,
0.257873,0.285159,,,
0.257873,-1.09957,,,
0.289554,0.253306,,,
0.289554,-1.0038,,,
0.323253,0.22566,,,
0.323253,-0.913546,,,
0.358747,0.202003,,,
0.358747,-0.82849,,,
0.395749,0.181981,,,
0.395749,-0.748687,,,
0.433912,0.165247,,,
0.433912,-0.673845,,,
0.472843,0.151356,,,
0.472843,-0.603776,,,
0.512117,0.139925,,,
0.512117,-0.538219,,,
0.551292,0.130571,,,
0.551292,-0.47712,,,
0.589933,0.123001,,,
0.589933,-0.420082,,,
0.627628,0.116953,,,
0.627628,-0.366946,,,
0.664007,0.112246,,,
0.664007,-0.317376,,,
0.69875,0.108728,,,
0.69875,-0.271051,,,
0.731603,0.106296,,,
0.731603,-0.227725,,,
0.762378,0.104879,,,
0.762378,-0.187278,,,
0.790952,0.104426,,,
0.790952,-0.149274,,,
0.817266,0.104895,,,
0.817266,-0.11388,,,
0.841316,0.106242,,,
0.841316,-0.0809773,,,
0.863146,0.108428,,,
0.863146,-0.0506158,,,
0.882836,0.111407,,,
0.882836,-0.0228376,,,
0.900496,0.115121,,,
0.900496,0.00234629,,,
0.916256,0.119545,,,
0.916256,0.0249426,,,
0.930255,0.124588,,,
0.930255,0.0450386,,,
0.942641,0.130309,,,
0.942641,0.0626796,,,
0.95356,0.136492,,,
0.95356,0.0781878,,,
0.963157,0.143594,,,
0.963157,0.0915088,,,
0.971568,0.150634,,,
0.971568,0.10341,,,
0.978921,0.159813,,,
0.978921,0.113043,,,
0.985337,0.166112,,,
0.985337,0.123044,,,
0.990924,0.191087,,,
0.990924,0.135503,,,
0.995782,0.15854,,,
0.995782,0.146138,,,
1,0.16145,,,
