"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -3.414158584,       -13.2166055,      -13.20919268,      -1.366451152,      -8.979144895
          0,           0,           1,      -4.016694393,      -3.119923808,      -2.878865393,      -1.966614496,      -9.298880505
          0,           0,           2,      -4.039700907,      -3.208781402,      -3.113918903,      -1.987505276,      -9.819027477
          0,           0,           3,      -4.029512661,      -3.261059582,      -3.293727364,      -1.978415468,      -9.986127896
          0,           0,           4,      -4.088189409,      -3.268582609,      -3.254826699,      -2.038046032,      -10.10667951
          0,           0,           5,      -4.157966141,      -3.252788722,      -3.224871082,      -2.109806691,      -10.22352013
          0,           0,           6,      -4.215331786,      -3.236638005,      -3.225731883,      -2.169448639,      -10.28074814
          0,           0,           7,      -4.243664799,      -3.230802612,      -3.245760648,      -2.198710448,       -10.3124373
          0,           0,           8,      -4.241404993,      -3.237470068,      -3.278343665,      -2.195763435,      -10.32330062
          0,           0,           9,      -4.220667949,      -3.254780446,      -3.317249225,      -2.173982244,      -10.31982142
          0,           0,          10,      -4.193512502,      -3.278726168,      -3.354451229,      -2.146247749,      -10.31025718
          0,           0,          11,      -4.166832826,      -3.303821116,      -3.382170074,      -2.119461466,      -10.28892007
          0,           0,          12,      -4.144569103,      -3.324361425,      -3.396417965,      -2.097307647,      -10.26671737
          0,           0,          13,      -4.129296397,      -3.336453077,      -3.397794152,      -2.082167175,      -10.24782068
          0,           0,          14,      -4.122402336,      -3.338886278,      -3.388987733,      -2.075351273,      -10.23547483
          0,           0,          15,      -4.124038628,      -3.332704593,      -3.372587508,      -2.077016398,      -10.22956879
          0,           0,          16,      -4.133118203,       -3.32015041,      -3.350955652,      -2.086122858,      -10.22781656
          0,           0,          17,      -4.147190335,      -3.303976068,      -3.326873808,      -2.100286066,      -10.22729436
          0,           0,          18,      -4.162312255,       -3.28703829,      -3.303560822,      -2.115626524,      -10.22415052
          0,           0,          19,      -4.173496761,      -3.271888812,      -3.284050584,      -2.127183659,      -10.21638788
          0,           0,          20,      -4.176353601,        -3.2603787,       -3.27057839,      -2.130520317,      -10.20347267
          0,           0,          21,      -4.169339309,        -3.2534675,      -3.264300528,      -2.123977166,      -10.18670989
          0,           0,          22,      -4.154564573,      -3.251222276,       -3.26525473,      -2.109551995,      -10.16775852
          0,           0,          23,        -4.1362538,      -3.252903106,      -3.272340081,      -2.091417132,      -10.14947003
          0,           0,          24,      -4.118549245,       -3.25702682,      -3.283239456,      -2.073716845,       -10.1310624
          0,           0,          25,      -4.104342618,      -3.261536662,      -3.294434526,      -2.059365648,      -10.11439818
          0,           0,          26,      -4.095168321,      -3.264140443,      -3.301709107,      -2.049923158,       -10.0989165
          0,           0,          27,      -4.091504969,      -3.262882606,      -3.301492045,      -2.045895676,      -10.08403841
          0,           0,          28,      -4.093058259,      -3.256829896,      -3.292579603,       -2.04702693,      -10.07032307
          0,           0,          29,      -4.098908413,      -3.246456932,      -3.276818491,      -2.052452849,      -10.05695804
          0,           0,          30,      -4.107570443,      -3.233447582,      -3.258029781,      -2.060762476,      -10.04379936
          0,           0,          31,       -4.11709153,       -3.22004875,      -3.240225899,      -2.070082323,      -10.03134675
          0,           0,          32,      -4.125332196,      -3.208392336,      -3.226426378,      -2.078327067,      -10.01770921
          0,           0,          33,      -4.130498578,      -3.200077805,      -3.218300939,      -2.083694058,      -10.00493938
          0,           0,          34,      -4.131766042,      -3.196011492,       -3.21622219,      -2.085270882,      -9.991897956
          0,           0,          35,      -4.129616069,      -3.196389082,      -3.219385729,      -2.083403089,      -9.980193519
          0,           0,          36,      -4.125622804,      -3.200751073,      -3.225921914,      -2.079541743,      -9.969738911
          0,           0,          37,      -4.121831257,      -3.208066996,      -3.233135517,      -2.075666372,      -9.961270556
          0,           0,          38,      -4.120111316,      -3.216880521,      -3.238099021,      -2.073644852,      -9.954788677
          0,           0,          39,      -4.121739199,      -3.225584012,      -3.238641977,      -2.074797442,       -9.94982265
          0,           0,          40,      -4.127217764,      -3.232824389,      -3.234289754,      -2.079699216,      -9.945572542
          0,           0,          41,      -4.136244229,      -3.237928714,      -3.226447195,      -2.088137948,      -9.941655917
          0,           0,          42,      -4.147770617,      -3.241137741,      -3.217665596,      -2.099167846,       -9.93718611
          0,           0,          43,      -4.160184272,      -3.243498013,      -3.210588659,      -2.111275732,      -9.932073704
          0,           0,          44,      -4.171678331,      -3.246470993,      -3.207197811,      -2.122721983,      -9.926391552
          0,           0,          45,      -4.180809783,      -3.251461271,      -3.208489039,      -2.132062265,      -9.919832591
          0,           0,          46,      -4.187052273,      -3.259427294,      -3.214404987,      -2.138685658,      -9.912667327
          0,           0,          47,      -4.191023805,      -3.270616857,      -3.223863248,      -2.143072912,      -9.904999357
          0,           0,          48,      -4.194226728,       -3.28439718,      -3.234875476,      -2.146596381,      -9.896624897
          0,           0,          49,      -4.198470913,      -3.299191613,      -3.244891524,      -2.150989979,      -9.888425676
          0,           0,          50,      -4.205296901,      -3.312650853,      -3.251500145,      -2.157783782,      -9.880606092
          0,           0,          51,      -4.215582436,       -3.32223804,      -3.253345403,      -2.167897964,      -9.873051754
          0,           0,          52,      -4.229335257,      -3.326218536,      -3.250735387,      -2.181417988,      -9.866043565
          0,           0,          53,      -4.245624746,      -3.324570665,      -3.245473191,      -2.197510224,      -9.859662293
          0,           0,          54,      -4.262676706,      -3.319129923,      -3.240054989,      -2.214495689,      -9.852852279
          0,           0,          55,      -4.278246364,      -3.312856496,      -3.236815216,      -2.230188243,      -9.846104319
          0,           0,          56,      -4.290342184,      -3.308836389,       -3.23740652,      -2.242577847,      -9.838968216
          0,           0,          57,      -4.298086725,       -3.30960466,      -3.242611943,      -2.250679645,      -9.831446363
          0,           0,          58,      -4.302189725,      -3.316888439,      -3.252323834,       -2.25505234,      -9.823965546
