Points_0,15deg,,,Ladson
0,-8.60916,,-0.2999,1.0511
5.82E-06,-8.30616,,-0.2501,1.2253
5.82E-06,-8.88284,,-0.1994,1.4603
2.72E-05,-8.0449,,-0.1503,1.7605
2.72E-05,-9.058,,-0.1012,2.2702
7.18E-05,-7.70861,,-0.0763,2.6775
7.18E-05,-9.31682,,-0.0515,3.2561
0.000150079,-7.31395,,-0.0271,4.477
0.000150079,-9.58732,,-0.0135,5.9727
0.000276236,-6.84004,,0,5.9494
0.000276236,-9.85126,,0.0122,0.7025
0.000469128,-6.28049,,0.0251,1.0003
0.000469128,-10.0903,,0.051,0.9678
0.000753189,-5.63047,,0.0755,0.8538
0.000753189,-10.2776,,0.1,0.7577
0.00115919,-4.8978,,0.1504,0.5984
0.00115919,-10.3831,,0.2004,0.4922
0.00172462,-4.10282,,0.2501,0.4122
0.00172462,-10.3743,,0.3002,0.3522
0.00249343,-3.2788,,0.3499,-0.9091
0.00249343,-10.2253,,0.3507,0.3031
0.00351532,-2.46631,,0.3994,-0.7981
0.00351532,-9.92623,,0.4,0.2621
0.00484455,-1.70642,,0.4496,-0.687
0.00484455,-9.48721,,0.4503,0.2369
0.00653926,-1.03249,,0.4997,-0.5954
0.00653926,-8.93562,,0.5,0.2027
0.00866098,-0.464375,,0.5492,-0.5115
0.00866098,-8.30928,,0.5506,0.1787
0.0112752,-0.00750391,,0.5994,-0.4372
0.0112752,-7.65024,,0.5997,0.1627
0.0144522,0.343888,,0.6495,-0.3675
0.0144522,-6.99445,,0.6502,0.1275
0.0182689,0.602153,,0.6996,-0.299
0.0182689,-6.36493,,0.7003,0.1208
0.0228094,0.782588,,0.7489,-0.2354
0.0228094,-5.77532,,0.7497,0.1074
0.0281672,0.900381,,0.7998,0.1017
0.0281672,-5.23266,,0.8003,-0.1678
0.0344451,0.969213,,0.85,-0.097
0.0344451,-4.73939,,0.8503,0.0877
0.0417559,1.00066,,0.8993,-0.0368
0.0417559,-4.29434,,0.9,0.0513
0.0502224,1.00417,,0.9483,0.0617
0.0502224,-3.89381,,0.9489,0.0123
0.0599767,0.987126,,,
0.0599767,-3.53358,,,
0.0711583,0.955333,,,
0.0711583,-3.20939,,,
0.0839123,0.913313,,,
0.0839123,-2.91716,,,
0.0983855,0.864581,,,
0.0983855,-2.65289,,,
0.114722,0.811835,,,
0.114722,-2.41295,,,
0.133057,0.757091,,,
0.133057,-2.19427,,,
0.153511,0.701975,,,
0.153511,-1.99419,,,
0.17618,0.647775,,,
0.17618,-1.81047,,,
0.201125,0.59536,,,
0.201125,-1.64089,,,
0.228367,0.545574,,,
0.228367,-1.48398,,,
0.257873,0.498861,,,
0.257873,-1.33845,,,
0.289554,0.455595,,,
0.289554,-1.2032,,,
0.323253,0.415933,,,
0.323253,-1.07777,,,
0.358747,0.379928,,,
0.358747,-0.961224,,,
0.395749,0.347446,,,
0.395749,-0.852916,,,
0.433912,0.318298,,,
0.433912,-0.752417,,,
0.472843,0.292151,,,
0.472843,-0.659551,,,
0.512117,0.268685,,,
0.512117,-0.573931,,,
0.551292,0.247571,,,
0.551292,-0.495576,,,
0.589933,0.228528,,,
0.589933,-0.424307,,,
0.627628,0.211313,,,
0.627628,-0.360305,,,
0.664007,0.19572,,,
0.664007,-0.303607,,,
0.69875,0.181595,,,
0.69875,-0.254309,,,
0.731603,0.168781,,,
0.731603,-0.212183,,,
0.762378,0.157187,,,
0.762378,-0.177056,,,
0.790952,0.146712,,,
0.790952,-0.148436,,,
0.817266,0.13729,,,
0.817266,-0.126108,,,
0.841316,0.128834,,,
0.841316,-0.109443,,,
0.863146,0.121286,,,
0.863146,-0.0976541,,,
0.882836,0.114569,,,
0.882836,-0.0896193,,,
0.900496,0.108613,,,
0.900496,-0.0836743,,,
0.916256,0.103385,,,
0.916256,-0.0783787,,,
0.930255,0.0987869,,,
0.930255,-0.0724112,,,
0.942641,0.0949006,,,
0.942641,-0.0651735,,,
0.95356,0.0914259,,,
0.95356,-0.0565128,,,
0.963157,0.0890046,,,
0.963157,-0.0473694,,,
0.971568,0.0866784,,,
0.971568,-0.0378053,,,
0.978921,0.087053,,,
0.978921,-0.0284682,,,
0.985337,0.0841605,,,
0.985337,-0.0162411,,,
0.990924,0.105445,,,
0.990924,0.00595277,,,
0.995782,0.0588875,,,
0.995782,0.0165403,,,
1,0.0217878,,,
