"Time_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,   "relrms[Rho]"  ,  "relrms[RhoU]"  ,  "relrms[RhoV]"  ,  "relrms[RhoE]"  ,   "relrms[nu]"   , "tavg[RefForce]" ,    "tavg[CD]"    ,    "tavg[CL]"    ,    "tavg[CSF]"   ,    "tavg[CMx]"   ,    "tavg[CMy]"   ,    "tavg[CMz]"   ,    "tavg[CFx]"   ,    "tavg[CFy]"   ,    "tavg[CFz]"   ,   "tavg[CEff]"   ,  "tavg[Buffet]"  ,"Cauchy[tavg[CD]]","Cauchy[tavg[CL]]"
          0,           9,      -6.159734147,      -3.466142484,      -3.305351806,    -0.09893181358,      -2.447831421,      0.9329898399,       1.229739706,       2.473386831,                 0,                 0,                 0,      0.5521883011,      0.4528576052,       2.724852684,                 0,       2.011309238,     0.06508206543,      -1.459604847,      -3.417826471,      -2.838283755,      -2.069348612,      -5.050322256,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          1,           9,      -7.622590822,      -4.111163204,       -3.81820154,      -1.832644845,      -2.794294771,      0.9329898399,      0.5103898522,       1.375413038,                 0,                 0,                 0,      0.0714857205,     0.08595638834,       1.464537581,                 0,        2.69482834,      0.1104406076,      -1.944522618,     -0.9040201512,      -0.776746589,      -1.709795205,     -0.8255545805,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          2,           9,      -7.746363053,      -4.028728305,      -3.837067432,      -1.924199391,      -2.841673836,      0.9329898399,      0.2494570712,      0.8003682688,                 0,                 0,                 0,      -0.160780253,    0.004551948457,      0.8383301711,                 0,       3.208440895,      0.5359051182,      -2.079984964,     -0.9618220421,     -0.7656646329,      -1.727277019,     -0.7716774809,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          3,           9,       -7.85163479,        -4.0406265,      -3.914579491,      -1.878953852,       -2.92450339,      0.9329898399,      0.2072788579,      0.7293292556,                 0,                 0,                 0,     -0.1498455147,    -0.01501348019,      0.7580635088,                 0,       3.518589706,      0.8007033241,      -2.258097356,      -1.005536193,     -0.8502297792,      -1.756489965,     -0.8509595822,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          4,           9,      -8.014151849,      -4.088243955,      -4.107432896,      -1.966903328,      -2.958853105,      0.9329898399,      0.2719701252,      0.9025670866,                 0,                 0,                 0,     -0.0556672014,   -0.003798753565,      0.9426455666,                 0,       3.318625846,      0.9258497719,       -2.46883401,      -1.070245241,       -1.07957924,      -1.892563836,      -0.904176891,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          5,           9,      -8.061743227,      -4.156284472,      -4.284018564,      -2.091501248,      -3.190732541,      0.9329898399,      0.3503285129,       1.105875758,                 0,                 0,                 0,     0.02092831157,     0.01169404262,       1.159980391,                 0,       3.156682133,      0.9615301931,      -2.555888008,      -1.152283102,      -1.296866155,      -2.055694625,      -1.163634128,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          6,           9,      -8.082294746,      -4.207085455,      -4.337679827,      -2.228243271,       -3.19741795,      0.9329898399,      0.4039446269,       1.245560607,                 0,                 0,                 0,     0.06153135157,     0.02212748993,       1.309237511,                 0,       3.083493439,      0.9763525117,       -2.60987528,      -1.222080606,      -1.388226664,      -2.225809767,      -1.195286353,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          7,           9,       -8.11119616,      -4.269585581,      -4.440792316,      -2.384087039,      -3.463857995,      0.9329898399,      0.4349732403,       1.322849168,                 0,                 0,                 0,     0.08799824424,     0.02920331193,       1.392220819,                 0,       3.041219657,      0.9857780004,       -2.66479075,       -1.31268855,      -1.521186485,      -2.408781366,      -1.484399536,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          8,           9,      -8.143374214,      -4.312779096,      -4.502251977,      -2.500159272,      -3.776045747,      0.9329898399,      0.4602129029,       1.370444056,                 0,                 0,                 0,      0.1153146931,     0.03942472303,       1.445115399,                 0,       2.977847963,      0.9920502591,      -2.717215268,      -1.389341053,      -1.606240864,      -2.546790538,      -1.815086979,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          9,           9,      -8.138662975,      -4.341769354,      -4.575258754,      -2.553015999,      -3.851406411,      0.9329898399,      0.4898783552,       1.412084671,                 0,                 0,                 0,       0.147744902,     0.05561939834,       1.493609857,                 0,       2.882521051,        1.00030076,      -2.728201015,      -1.451605697,      -1.699149544,      -2.617182784,       -1.90890939,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
