"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -3.525239759,      -3.591833618,      -4.106692076,      -2.831122257
          0,           0,           1,      -3.794850213,      -3.674993477,       -3.68027463,      -3.093965116
          0,           0,           2,      -3.769710002,       -3.64887074,      -3.762663553,      -3.075723887
          0,           0,           3,      -3.824142782,      -3.682521736,      -3.821263146,      -3.126195637
          0,           0,           4,       -3.86082824,       -3.75726664,      -3.899434043,      -3.175067944
          0,           0,           5,       -3.90853845,      -3.776111201,      -3.921931788,      -3.214305964
          0,           0,           6,      -3.982171794,      -3.827832777,      -3.999353523,      -3.288548863
          0,           0,           7,      -4.043854916,       -3.91897196,      -4.133364813,      -3.353573759
          0,           0,           8,      -4.078838391,      -3.976344507,      -4.163894624,      -3.389911841
          0,           0,           9,      -4.126911992,      -4.022642973,      -4.184054553,      -3.424831538
          0,           0,          10,      -4.188470901,      -4.096490708,      -4.283142654,      -3.477952302
          0,           0,          11,      -4.250801447,      -4.179565635,      -4.395829638,      -3.554963951
          0,           0,          12,      -4.320215172,      -4.256402803,      -4.475474593,      -3.621573182
          0,           0,          13,       -4.39236754,      -4.307600132,      -4.518823863,      -3.680413572
          0,           0,          14,      -4.469452131,      -4.362976518,      -4.565932862,      -3.760712856
          0,           0,          15,      -4.560143789,      -4.431922495,      -4.655492646,      -3.851476915
          0,           0,          16,      -4.668313483,      -4.512070474,      -4.775293976,      -3.957758702
          0,           0,          17,      -4.775084723,      -4.590291572,      -4.894546466,      -4.065783661
          0,           0,          18,       -4.85707353,      -4.652047418,      -4.977884669,       -4.15934363
          0,           0,          19,      -4.925295755,      -4.706995274,      -5.053270232,      -4.225820896
          0,           0,          20,      -4.988233781,      -4.761480608,      -5.126232454,      -4.278396569
          0,           0,          21,       -5.04471793,      -4.818574696,      -5.191610335,      -4.339067285
          0,           0,          22,      -5.090864857,      -4.879738759,      -5.262927939,      -4.385010105
          0,           0,          23,      -5.119043669,      -4.939583466,      -5.328644477,       -4.40940712
          0,           0,          24,      -5.154240041,         -4.995597,      -5.383624552,      -4.452868568
          0,           0,          25,      -5.190934614,      -5.052262098,      -5.445624363,      -4.487043076
          0,           0,          26,      -5.238057205,       -5.11004423,       -5.51288653,       -4.52659276
          0,           0,          27,      -5.298885591,      -5.170154539,      -5.586719697,      -4.581625287
          0,           0,          28,      -5.382891435,      -5.227618125,      -5.654636667,      -4.671417546
          0,           0,          29,      -5.486351548,      -5.293553512,         -5.738104,      -4.772909498
          0,           0,          30,      -5.606825823,      -5.367976176,      -5.827865213,      -4.886394036
          0,           0,          31,      -5.734504903,      -5.450257654,      -5.916028887,      -5.008090299
          0,           0,          32,      -5.840288847,      -5.529067595,      -5.991776856,      -5.120021787
          0,           0,          33,      -5.941401954,       -5.61642068,      -6.076246175,      -5.223914038
          0,           0,          34,      -6.036401809,      -5.705457948,      -6.164277004,      -5.317303124
          0,           0,          35,      -6.112866256,      -5.792373821,      -6.251075707,      -5.395495176
          0,           0,          36,      -6.167654323,      -5.870738732,       -6.32994637,      -5.463496043
          0,           0,          37,      -6.211512061,      -5.948230471,      -6.413192296,      -5.509610324
          0,           0,          38,      -6.240113702,      -6.019067199,      -6.481781626,      -5.532550611
          0,           0,          39,      -6.259340629,      -6.079302206,      -6.528949971,      -5.560641361
          0,           0,          40,      -6.252205956,        -6.1325958,      -6.571060115,      -5.551877127
          0,           0,          41,      -6.227920505,      -6.176882569,      -6.599529107,      -5.520861519
          0,           0,          42,      -6.224525284,      -6.215544408,      -6.614855757,      -5.526592528
          0,           0,          43,      -6.210090258,      -6.244773504,      -6.630053485,      -5.508341841
          0,           0,          44,      -6.192328201,      -6.266173679,      -6.639462051,      -5.483149423
          0,           0,          45,      -6.202092809,      -6.289743064,      -6.653586995,      -5.501757624
          0,           0,          46,       -6.20771483,      -6.308419224,      -6.676343536,      -5.503917997
          0,           0,          47,      -6.213200957,      -6.323989019,      -6.697563879,      -5.502066181
          0,           0,          48,       -6.24069212,       -6.34635095,      -6.722033512,      -5.537436256
          0,           0,          49,      -6.262994012,      -6.367782661,      -6.753848161,      -5.557163967
          0,           0,          50,      -6.280786246,      -6.387173757,      -6.776459198,      -5.567963863
          0,           0,          51,      -6.312144493,      -6.413271668,      -6.804129533,      -5.607167427
          0,           0,          52,      -6.341165817,       -6.44010652,      -6.846693441,      -5.634385271
          0,           0,          53,      -6.371592445,      -6.465768316,      -6.874597607,      -5.657600972
          0,           0,          54,      -6.404996549,       -6.49399734,      -6.899087818,      -5.687888173
          0,           0,          55,      -6.438471398,       -6.52325346,      -6.926285628,      -5.720430584
          0,           0,          56,      -6.474584458,      -6.554412673,        -6.9638181,      -5.756278477
          0,           0,          57,      -6.516746385,      -6.587868934,      -7.004579238,      -5.797666058
          0,           0,          58,      -6.555679217,      -6.622535685,      -7.040170328,       -5.83388723
          0,           0,          59,      -6.608329345,       -6.66140641,      -7.080020936,      -5.895940403
          0,           0,          60,      -6.657642839,      -6.704552206,      -7.137356074,      -5.945641713
          0,           0,          61,      -6.706146378,      -6.748576681,      -7.188628132,      -5.988583577
          0,           0,          62,      -6.747564116,      -6.792504257,      -7.226625304,      -6.025314692
          0,           0,          63,      -6.800952134,      -6.837683175,      -7.267246077,      -6.087618622
          0,           0,          64,      -6.850715105,      -6.885390641,      -7.323637873,      -6.137888737
          0,           0,          65,      -6.899776547,      -6.932972752,      -7.374192968,      -6.181695003
          0,           0,          66,      -6.943334085,      -6.979923733,      -7.414982946,      -6.220744355
          0,           0,          67,      -6.999440153,      -7.027048166,      -7.459211444,      -6.285593891
          0,           0,          68,      -7.051169042,      -7.076372314,      -7.516314096,      -6.337615459
          0,           0,          69,      -7.099392126,      -7.125392497,      -7.567939943,      -6.380953105
          0,           0,          70,      -7.142272694,      -7.173276588,      -7.611594292,      -6.419540826
          0,           0,          71,      -7.198731769,      -7.221480365,      -7.658954769,      -6.484667604
          0,           0,          72,      -7.252741815,      -7.272141213,      -7.720889093,      -6.538947273
          0,           0,          73,      -7.308724713,      -7.323400785,      -7.779315885,      -6.589897392
          0,           0,          74,      -7.362089073,       -7.37528112,      -7.830104228,      -6.638968335
          0,           0,          75,      -7.425602418,      -7.425443051,      -7.877650097,      -6.709935633
          0,           0,          76,       -7.48794617,      -7.479478812,       -7.93868716,      -6.772778182
          0,           0,          77,      -7.551003031,      -7.534961351,      -7.997551445,      -6.831230884
          0,           0,          78,      -7.610396091,      -7.591481392,      -8.051372249,      -6.886269271
          0,           0,          79,      -7.678266361,      -7.645106914,       -8.10114509,      -6.960340833
          0,           0,          80,      -7.744781685,       -7.70370921,        -8.1647543,      -7.027053716
          0,           0,          81,      -7.810764629,      -7.764115897,      -8.229252258,      -7.089037586
          0,           0,          82,      -7.875990955,      -7.825452039,      -8.291401658,      -7.150087525
          0,           0,          83,      -7.951111173,      -7.883103354,      -8.348047914,       -7.23038556
          0,           0,          84,      -8.030459459,      -7.946946734,      -8.419669071,      -7.309208547
          0,           0,          85,      -8.115346753,      -8.014518908,      -8.495969291,      -7.389650833
          0,           0,          86,      -8.205866039,      -8.085503098,       -8.57380087,      -7.475289813
          0,           0,          87,      -8.301048573,      -8.152454182,      -8.642136933,      -7.573349002
          0,           0,          88,       -8.40394548,      -8.227274334,      -8.724640804,      -7.675059951
          0,           0,          89,      -8.515824246,      -8.306224914,      -8.812129197,      -7.782175414
          0,           0,          90,      -8.636392381,      -8.388337968,      -8.900724454,      -7.896893804
          0,           0,          91,      -8.748480209,      -8.464605772,      -8.977599732,      -8.010939624
          0,           0,          92,      -8.861411582,      -8.544141812,      -9.060997172,       -8.12441085
          0,           0,          93,      -8.963414056,      -8.623012477,      -9.139989686,      -8.226753282
          0,           0,          94,      -9.027964651,      -8.692336354,       -9.20522961,      -8.304320044
          0,           0,          95,       -9.05495099,      -8.758985258,       -9.26669732,      -8.340072306
          0,           0,          96,      -9.032427065,      -8.814075652,      -9.297090273,      -8.318752427
          0,           0,          97,      -9.001388672,      -8.856656603,      -9.301433142,      -8.301742009
          0,           0,          98,      -8.959491397,      -8.892565991,      -9.327942823,      -8.258589529
          0,           0,          99,       -8.91383099,      -8.911595197,      -9.313764486,      -8.204931376
          0,           0,         100,      -8.893746381,      -8.927072931,      -9.300308093,      -8.194371771
          0,           0,         101,       -8.87076158,      -8.937684261,      -9.307493801,      -8.168316721
          0,           0,         102,      -8.847413575,      -8.938617262,      -9.301644269,      -8.137083155
          0,           0,         103,      -8.850331973,      -8.945240989,      -9.300329861,      -8.148191794
          0,           0,         104,       -8.85058952,      -8.951925932,      -9.316302429,      -8.145772498
          0,           0,         105,      -8.849474076,      -8.955370383,      -9.322999016,      -8.137403654
          0,           0,         106,       -8.86811212,      -8.966316694,      -9.331590312,       -8.16332606
          0,           0,         107,      -8.882065872,      -8.979886945,      -9.356578002,      -8.175273235
          0,           0,         108,      -8.892702847,      -8.991705431,      -9.372251996,      -8.179305171
          0,           0,         109,      -8.919496328,      -9.009451913,      -9.387129044,      -8.212875043
          0,           0,         110,      -8.940719388,      -9.030138037,      -9.417114003,      -8.232474259
          0,           0,         111,      -8.957992944,      -9.049068555,      -9.438128378,      -8.243597138
          0,           0,         112,      -8.990042197,      -9.072190138,      -9.457880206,       -8.28213779
          0,           0,         113,      -9.014575472,      -9.097454091,       -9.48728088,      -8.305041769
          0,           0,         114,       -9.03168435,       -9.12030002,      -9.508264786,      -8.316669806
          0,           0,         115,      -9.049552709,      -9.142000716,      -9.525118034,      -8.332218595
          0,           0,         116,      -9.073916166,      -9.164482795,      -9.550621767,      -8.355820227
          0,           0,         117,      -9.102227258,      -9.187503948,      -9.577098924,      -8.381107229
          0,           0,         118,       -9.15288095,      -9.216148432,      -9.611247295,      -8.439794387
          0,           0,         119,       -9.20412065,      -9.252668404,      -9.663312401,        -8.4903032
          0,           0,         120,      -9.254718244,      -9.293594774,      -9.718052516,      -8.535890608
          0,           0,         121,      -9.301773984,      -9.336744271,      -9.765489026,      -8.578420957
          0,           0,         122,      -9.361417058,      -9.380283574,      -9.808335453,      -8.644777771
          0,           0,         123,      -9.417917378,      -9.430084338,      -9.864710803,       -8.70124285
          0,           0,         124,      -9.471213193,       -9.48177469,      -9.921174471,      -8.750403893
          0,           0,         125,      -9.520479348,      -9.533344452,      -9.970329262,      -8.795546724
          0,           0,         126,      -9.582189454,      -9.582443609,      -10.01601992,      -8.863744602
          0,           0,         127,       -9.64256057,      -9.636833994,      -10.07622651,      -8.924025259
          0,           0,         128,      -9.700602649,       -9.69266245,      -10.13662788,      -8.978022958
          0,           0,         129,      -9.754996686,      -9.748381501,      -10.19306814,      -9.028631579
          0,           0,         130,       -9.82116815,      -9.800873424,      -10.24506968,      -9.100916609
          0,           0,         131,      -9.890255086,      -9.859326225,      -10.31222175,      -9.169714466
          0,           0,         132,      -9.963501385,      -9.920876527,      -10.38183636,      -9.238326964
          0,           0,         133,      -10.03781105,      -9.985293282,      -10.45115021,      -9.308109055
          0,           0,         134,      -10.11879807,      -10.04622413,      -10.51272956,      -9.393525219
          0,           0,         135,      -10.20307879,      -10.11466929,      -10.58912196,      -9.477360269
          0,           0,         136,      -10.29162287,      -10.18675136,      -10.66923635,      -9.561449964
          0,           0,         137,      -10.38283853,      -10.26165021,      -10.74933834,      -9.647704344
          0,           0,         138,      -10.47756916,      -10.33139081,      -10.81895244,      -9.744970667
          0,           0,         139,      -10.57889742,      -10.40840653,       -10.9024669,      -9.844955966
          0,           0,         140,      -10.68826673,      -10.48817257,       -10.9902102,       -9.94936736
          0,           0,         141,      -10.80712827,      -10.56943353,      -11.07833106,       -10.0615787
          0,           0,         142,      -10.92118777,      -10.64475478,      -11.15497136,      -10.17566533
          0,           0,         143,      -11.03856794,      -10.72336234,      -11.23824071,      -10.29133152
          0,           0,         144,      -11.14564954,       -10.8019403,      -11.31707801,      -10.39715743
          0,           0,         145,      -11.21098157,      -10.87195755,       -11.3817749,      -10.47618382
          0,           0,         146,      -11.23576988,      -10.94017974,      -11.44293932,      -10.51215336
          0,           0,         147,      -11.21150646,      -10.99793361,      -11.47572466,      -10.49251676
          0,           0,         148,      -11.18259302,      -11.04328949,      -11.48571018,      -10.47999413
          0,           0,         149,      -11.14545257,      -11.08182765,      -11.51604529,      -10.44280527
          0,           0,         150,      -11.10642366,      -11.10398603,      -11.50932486,      -10.39650788
          0,           0,         151,      -11.09163721,      -11.12188473,      -11.50124183,      -10.39141228
          0,           0,         152,      -11.07324356,      -11.13497842,      -11.51258391,      -10.37033952
          0,           0,         153,      -11.05394234,      -11.13869066,      -11.51037424,      -10.34336436
          0,           0,         154,      -11.05942555,       -11.1474367,      -11.51080891,      -10.35693306
          0,           0,         155,      -11.06141778,      -11.15612868,      -11.52802226,      -10.35641314
          0,           0,         156,      -11.06138105,      -11.16143166,      -11.53536481,      -10.34925498
          0,           0,         157,      -11.08054343,      -11.17367388,      -11.54401727,      -10.37567971
          0,           0,         158,      -11.09463802,      -11.18822541,      -11.56883687,      -10.38781903
          0,           0,         159,      -11.10506975,      -11.20073757,      -11.58410642,      -10.39171317
          0,           0,         160,      -11.13160557,      -11.21887596,       -11.5986941,      -10.42505541
          0,           0,         161,      -11.15251383,      -11.23972759,      -11.62834062,      -10.44434188
          0,           0,         162,      -11.16940389,      -11.25866414,      -11.64902032,      -10.45509139
          0,           0,         163,      -11.20114395,      -11.28173899,      -11.66860625,      -10.49334733
          0,           0,         164,      -11.22536964,      -11.30683503,      -11.69780079,      -10.51593524
          0,           0,         165,      -11.24214712,      -11.32949109,      -11.71852709,      -10.52722062
          0,           0,         166,       -11.2600921,       -11.3511527,      -11.73631364,      -10.54284932
          0,           0,         167,      -11.28543526,      -11.37370927,       -11.7627376,      -10.56734758
          0,           0,         168,      -11.31481274,      -11.39711042,      -11.78824869,      -10.59362675
          0,           0,         169,      -11.36447298,      -11.42605953,      -11.82182012,      -10.65138389
          0,           0,         170,      -11.41346116,      -11.46252014,      -11.87320071,      -10.69984334
          0,           0,         171,      -11.46156098,      -11.50266986,      -11.92759242,      -10.74304531
          0,           0,         172,      -11.50783668,      -11.54462971,      -11.97271989,      -10.78467498
          0,           0,         173,      -11.56641835,      -11.58739995,      -12.01403827,      -10.85003746
          0,           0,         174,      -11.62140563,      -11.63631778,      -12.06943081,      -10.90504735
          0,           0,         175,      -11.67337326,       -11.6869506,      -12.12579757,      -10.95289867
          0,           0,         176,      -11.72248269,       -11.7373283,       -12.1737969,       -10.9977691
          0,           0,         177,      -11.78338545,      -11.78566947,      -12.21852979,      -11.06520458
          0,           0,         178,      -11.84211132,      -11.83931454,      -12.27786551,      -11.12394735
          0,           0,         179,      -11.89924677,       -11.8944997,      -12.33876604,      -11.17719878
          0,           0,         180,      -11.95534137,      -11.94959497,      -12.39456232,      -11.22920913
          0,           0,         181,      -12.02250147,      -12.00189492,      -12.44581032,      -11.30227644
