"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,           0,      -5.204927974,      -5.218571093,      -6.418470115,      -6.101420299,      -4.597761973
          0,           0,           1,      -4.872443692,      -4.639049822,      -4.921423791,      -4.753897662,      -4.244280972
          0,           0,           2,      -4.814654681,      -4.636480988,      -4.645168607,      -4.521571727,      -4.197364195
          0,           0,           3,      -4.714464663,      -4.582951719,      -4.577171137,      -4.380153354,      -4.101204391
          0,           0,           4,      -4.702647548,      -4.574466287,      -4.507453196,      -4.304778353,      -4.085998626
          0,           0,           5,      -4.727803894,      -4.660316156,       -4.48150712,       -4.30549775,      -4.123881391
          0,           0,           6,      -4.708742345,      -4.759749003,      -4.504567002,       -4.34687112,      -4.116972141
          0,           0,           7,      -4.700895927,      -4.703852308,      -4.543488577,      -4.381168105,      -4.078352516
          0,           0,           8,       -4.72946626,      -4.715210799,      -4.585296184,      -4.409912144,      -4.111686424
          0,           0,           9,      -4.770346128,      -4.772096013,      -4.651766654,      -4.458485382,      -4.161665162
          0,           0,          10,      -4.843787831,      -4.872667494,      -4.735304385,      -4.526797544,      -4.233920556
          0,           0,          11,      -4.907436099,      -4.965144133,      -4.806613697,      -4.594980642,      -4.308973329
          0,           0,          12,      -4.973643582,       -5.02879983,      -4.885802302,      -4.676799814,      -4.371376308
          0,           0,          13,      -5.044620341,      -5.060554157,      -4.974510135,      -4.766300535,      -4.424869899
          0,           0,          14,      -5.108511635,      -5.100827169,      -5.078763533,      -4.865710809,      -4.482210004
          0,           0,          15,      -5.170806155,      -5.162605998,      -5.170114573,      -4.952419711,      -4.556275375
          0,           0,          16,      -5.251983982,      -5.256432698,      -5.277921582,      -5.054800158,      -4.642580526
          0,           0,          17,      -5.358808602,      -5.372271039,      -5.390112206,       -5.16885201,      -4.744035532
          0,           0,          18,      -5.467995464,      -5.489709854,      -5.499387598,      -5.294958107,      -4.847405785
          0,           0,          19,       -5.56425301,      -5.589944601,      -5.605020603,      -5.427549698,      -4.942144066
          0,           0,          20,      -5.660702377,      -5.680048959,      -5.718724368,      -5.560234052,      -5.036552732
          0,           0,          21,      -5.770073754,      -5.773140052,      -5.845793457,      -5.683335491,      -5.143237685
          0,           0,          22,       -5.89265081,      -5.873262737,      -5.984857911,      -5.799056094,      -5.263176703
          0,           0,          23,      -6.018103023,      -5.975068349,      -6.125165169,      -5.915846508,      -5.387672971
          0,           0,          24,      -6.131830655,      -6.070840919,      -6.252237328,      -6.035886026,      -5.504843873
          0,           0,          25,      -6.239120315,       -6.16564637,      -6.375060743,      -6.163972977,      -5.614894857
          0,           0,          26,      -6.346865495,      -6.262523808,      -6.497753237,      -6.291336785,       -5.72327996
          0,           0,          27,      -6.457403694,      -6.363415159,      -6.620934853,      -6.409035247,      -5.833412578
          0,           0,          28,      -6.562155339,      -6.461371727,      -6.729994469,      -6.510960883,      -5.941558483
