"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,           0,      -5.284698573,      -5.300112177,      -6.421032795,      -6.123929676,      -4.713187049
          0,           0,           1,      -5.137902404,      -4.938164609,      -5.292105736,       -5.07931376,      -4.558237311
          0,           0,           2,      -4.959202504,      -4.784763533,      -5.180372768,      -5.030907127,      -4.376455345
          0,           0,           3,      -4.829616875,      -4.691664786,      -5.109303746,      -4.919754594,      -4.257219136
          0,           0,           4,      -4.759096451,      -4.674025962,      -5.022104802,      -4.836600509,      -4.186491887
          0,           0,           5,      -4.758152136,      -4.747927269,       -4.97977894,      -4.808714317,      -4.192530717
          0,           0,           6,      -4.724971295,       -4.85318815,      -5.026391693,      -4.861814518,      -4.169282042
          0,           0,           7,      -4.725531425,      -4.855883021,       -5.03385627,        -4.8850583,       -4.15692602
          0,           0,           8,      -4.746155141,      -4.809000053,      -5.025048831,      -4.863294236,      -4.155690555
          0,           0,           9,      -4.790579412,      -4.878327543,      -5.042408177,      -4.872907431,       -4.21730197
          0,           0,          10,      -4.820245011,      -4.951953799,      -5.107586118,      -4.937682662,      -4.259557398
          0,           0,          11,      -4.873585723,      -5.027247163,      -5.170575123,      -5.007511293,      -4.301753812
          0,           0,          12,      -4.926661281,      -5.111746796,      -5.221352095,      -5.065628577,      -4.366497469
          0,           0,          13,      -4.974521642,      -5.154732293,      -5.278379961,      -5.124813764,      -4.412998669
          0,           0,          14,      -5.040465884,      -5.172791448,      -5.321879002,      -5.178083475,      -4.459698643
          0,           0,          15,      -5.090341557,      -5.193789998,      -5.359796911,      -5.233670863,      -4.516576535
          0,           0,          16,      -5.134917252,      -5.225172821,      -5.417471691,       -5.30362455,      -4.562044023
          0,           0,          17,      -5.200383524,      -5.280145807,       -5.49040715,      -5.369165707,      -4.618754897
          0,           0,          18,      -5.278768347,      -5.364843002,      -5.581811713,      -5.432090051,      -4.692977086
          0,           0,          19,      -5.346948102,      -5.451166214,      -5.659171994,       -5.48506068,      -4.777215653
          0,           0,          20,      -5.416013537,      -5.551226746,       -5.73760236,      -5.553972656,      -4.851757609
          0,           0,          21,      -5.503893545,      -5.651519736,      -5.800837307,      -5.637110457,      -4.929333697
          0,           0,          22,      -5.597768042,      -5.748482593,      -5.855084107,      -5.732421911,      -5.012716139
          0,           0,          23,      -5.670220726,      -5.823516524,      -5.899662369,       -5.81260205,      -5.096885792
          0,           0,          24,      -5.736926032,      -5.895543945,      -5.964809645,      -5.900785833,      -5.168060812
          0,           0,          25,      -5.817564357,      -5.962030909,      -6.050184489,      -5.985077236,      -5.241203408
          0,           0,          26,      -5.908180384,      -6.036865607,      -6.156352611,      -6.063422874,      -5.324105187
          0,           0,          27,      -5.984658104,      -6.107650832,      -6.249247505,      -6.124168524,      -5.410837538
          0,           0,          28,      -6.062655785,      -6.186725239,      -6.351662192,      -6.199402535,      -5.493200822
          0,           0,          29,      -6.156125992,      -6.269353298,      -6.448514657,       -6.28870599,      -5.579546318
          0,           0,          30,      -6.258978389,      -6.356093189,      -6.531865357,      -6.392080632,      -5.673908186
          0,           0,          31,      -6.343669692,      -6.428853936,      -6.587004827,      -6.482113117,      -5.768472153
          0,           0,          32,      -6.426346865,      -6.509539557,      -6.651463281,      -6.583713219,      -5.855674969
