Points_0,Coarse Mesh
0.375278,0.728129
0.375568,0.552308
0.375568,0.804299
0.375608,0.528326
0.375608,0.81464
0.376768,0.226695
0.376768,0.750515
0.376916,0.188721
0.376916,0.742598
0.37945,0.532245
0.37945,-0.222563
0.379715,0.510613
0.379715,-0.265073
0.380151,0.482949
0.380151,-0.307595
0.384584,-0.73185
0.384584,0.204607
0.384997,-0.747921
0.384997,0.19272
0.392089,-1.00865
0.392089,-0.000517926
0.392124,-0.000688986
0.392124,-1.00883
0.392581,-0.00251345
0.392581,-1.01064
0.401797,-0.0398834
0.401797,-1.04766
0.402517,-0.0421871
0.402517,-1.04976
0.414053,-0.0340926
0.414053,-0.964787
0.41626,-0.0329713
0.41626,-0.94895
0.429286,-0.0528296
0.429286,-0.861046
0.434215,-0.0613654
0.434215,-0.830173
0.447947,-0.0861384
0.447947,-0.777846
0.457652,-0.103919
0.457652,-0.742914
0.470419,-0.723478
0.470419,-0.120372
0.48821,-0.143822
0.48821,-0.697952
0.49694,-0.153003
0.49694,-0.69717
0.526245,-0.183412
0.526245,-0.69403
0.527594,-0.184817
0.527594,-0.6939
0.528013,-0.185299
0.528013,-0.6938
0.564407,-0.217142
0.564407,-0.696367
0.579825,-0.228939
0.579825,-0.68004
0.605544,-0.24116
0.605544,-0.649881
0.647228,-0.256524
0.647228,-0.568371
0.650233,-0.558186
0.650551,-0.256389
0.689031,-0.261349
0.697233,-0.401206
0.699182,-0.394137
0.699599,-0.252373
0.703223,-0.382454
0.728736,-0.227501
0.743598,-0.247629
0.75208,-0.200138
0.793754,-0.139591
0.793996,-0.147219
0.796415,-0.133833
0.796671,-0.143717
0.797634,-0.141937
0.797634,-0.130444
0.799453,-0.13982
0.799453,-0.12809
0.843995,-0.0754845
0.843995,-0.0523658
0.854802,-0.0616215
0.854802,-0.0366952
0.879626,-0.033068
0.879626,-0.00305454
0.89291,-0.0140137
0.89291,0.0198995
0.907009,0.00632636
0.907009,0.0450335
0.919929,0.0308282
0.919929,0.072151
0.928051,0.0463433
0.928051,0.0890624
0.939483,0.0769538
0.939483,0.118112
0.944213,0.0894987
0.944213,0.130087
0.953854,0.121726
0.953854,0.157271
0.956639,0.130995
0.956639,0.164953
0.964542,0.186143
0.964542,0.156439
0.966196,0.19047
0.966196,0.161581
0.972556,0.183033
0.972556,0.205994
0.973548,0.208596
0.973548,0.186467
0.974265,0.210319
0.974265,0.189016
0.979204,0.22284
0.979204,0.207249
0.983187,0.2362
0.983187,0.224751
0.983554,0.237279
0.983554,0.226259
0.986674,0.24579
0.986674,0.248191
0.9869,0.24723
0.9869,0.248993
0.989333,0.255815
0.989333,0.255893
0.989474,0.256317
