"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -4.875196878,       -9.67238369,      -16.04780238,       -10.9443717,      -4.268030877,        -10.917786
          0,           0,           1,      -5.195524438,      -5.075574562,      -5.527845306,       -4.84870187,      -4.557591901,      -11.61793622
          0,           0,           2,      -5.202310424,      -5.007161816,      -5.161119428,       -5.02975035,      -4.563652197,      -11.60989161
          0,           0,           3,      -5.145296206,      -5.003851747,      -4.986119232,      -4.880481342,      -4.522498448,      -11.50952018
          0,           0,           4,      -5.049641516,      -4.977019706,      -4.906524736,      -4.808729567,      -4.437647215,      -11.47617836
          0,           0,           5,      -5.004800593,      -4.978370845,      -4.886834438,      -4.807055674,      -4.397339416,      -11.46815334
          0,           0,           6,      -4.985621874,      -5.005494379,      -4.901911805,      -4.839840076,      -4.379518092,      -11.44637647
          0,           0,           7,      -4.960077473,       -5.05064177,      -4.928272253,      -4.875323524,      -4.357233477,      -11.42555472
          0,           0,           8,      -4.936753355,      -5.098326329,      -4.958270022,      -4.905742429,      -4.337469167,      -11.42254988
          0,           0,           9,      -4.927273571,      -5.113711124,      -4.994766131,      -4.941758938,      -4.326839341,      -11.43705439
          0,           0,          10,      -4.931542915,      -5.089505131,      -5.036515708,      -4.983412853,      -4.324353563,      -11.46218496
          0,           0,          11,      -4.947922788,      -5.066602663,      -5.086520096,      -5.026222227,      -4.334312766,      -11.49139794
          0,           0,          12,      -4.974114421,      -5.075684256,      -5.147504144,      -5.075093752,      -4.360212969,      -11.52177869
          0,           0,          13,      -5.006114958,      -5.116029702,       -5.21318816,       -5.13485236,       -4.39769415,      -11.55309198
          0,           0,          14,      -5.041352555,      -5.169911695,      -5.273350252,      -5.198850226,       -4.43830364,      -11.58633113
          0,           0,          15,      -5.079462461,      -5.218564862,      -5.324982263,      -5.254527692,      -4.476665066,      -11.62254354
