Points_0,Fine Mesh
0.37375,0.772725
0.374251,0.83358
0.374251,0.526211
0.375733,0.721246
0.375733,0.170827
0.378213,0.503552
0.378213,-0.213309
0.381788,0.251745
0.381788,-0.585899
0.386573,0.0449937
0.386573,-0.89184
0.392596,-0.0453897
0.392596,-1.07392
0.39982,-0.034766
0.39982,-1.12387
0.408221,-1.08948
0.408221,-0.0161802
0.41782,-1.02858
0.41782,-0.030013
0.428645,-0.954866
0.428645,-0.0542969
0.440705,-0.853887
0.440705,-0.0776925
0.453985,-0.741353
0.453985,-0.0997871
0.468451,-0.658431
0.468451,-0.120145
0.484052,-0.61974
0.484052,-0.139191
0.500723,-0.612416
0.500723,-0.157859
0.518383,-0.618789
0.518383,-0.176981
0.536941,-0.196968
0.536941,-0.62963
0.556296,-0.217568
0.556296,-0.643432
0.576337,-0.663729
0.576337,-0.237801
0.596947,-0.692501
0.596947,-0.255956
0.618001,-0.71937
0.618001,-0.269801
0.63937,-0.708781
0.63937,-0.276983
0.660923,-0.611142
0.660923,-0.275681
0.682526,-0.428914
0.682526,-0.265361
0.70405,-0.281527
0.70405,-0.247159
0.725368,-0.222987
0.725368,-0.22343
0.746357,-0.19755
0.746357,-0.196936
0.766903,-0.170057
0.766903,-0.169974
0.786898,-0.144119
0.786898,-0.137898
0.806246,-0.120079
0.806246,-0.106868
0.824856,-0.0979865
0.824856,-0.0787983
0.842652,-0.077323
0.842652,-0.0527032
0.859571,-0.0573912
0.859571,-0.0277817
0.875564,-0.0372182
0.875564,-0.00341451
0.890598,-0.0161607
0.890598,0.0206438
0.904661,0.00636009
0.904661,0.0446085
0.917759,0.0302468
0.917759,0.0681266
0.929921,0.0553666
0.929921,0.0911157
0.941201,0.081053
0.941201,0.112773
0.951675,0.106911
0.951675,0.133422
0.961449,0.132233
0.961449,0.151814
0.970653,0.15797
0.970653,0.170028
0.979446,0.180577
0.979446,0.183366
0.988019,0.208406
